NlmUniqueID	issn	sherpa_id	result	journal
	1573-2770	14336	JSON file OK - 	0364535
	1937-710X	10922	JSON file OK - 	9211547
	0894-8275		JSON file OK - sherpa without items - 	8806701
	1533-0311	8939	JSON file OK - 	7911005
	1932-149X		JSON file OK - sherpa without items - 	101291100
	1097-9891	1009	JSON file OK - 	7502510
	1532-8171	4725	JSON file OK - 	8309942
	1476-6256	317	JSON file OK - 	7910653
	1533-404X	8940	JSON file OK - 	8108948
	1572-0241	24272	JSON file OK - 	0421030
	1545-7214	8941	JSON file OK - 	9309609
	1945-7359	6212	JSON file OK - 	9602338
	2168-6602	10305	JSON file OK - 	8701680
	1535-2900	13505	JSON file OK - 	9503023
	1096-8652	4669	JSON file OK - 	7610369
	1938-2715	198	JSON file OK - 	9008229
	1520-6300	4671	JSON file OK - 	8915029
	1537-6605	6578	JSON file OK - 	0370475
	1941-7225	1621	JSON file OK - 	8803676
	1097-0274	4672	JSON file OK - 	8101110
	1527-3296		JSON file OK - sherpa without items - 	8004854
	1944-7558	11086	JSON file OK - 	101492916
	1523-6838		JSON file OK - sherpa without items - 	8110075
	0098-8588	38516	JSON file OK - 	7509572
	1936-2692	14665	JSON file OK - 	9613960
	1555-7162		JSON file OK - sherpa without items - 	0267200
	1552-4833	4673	JSON file OK - 	101235741
	1552-485X	4674	JSON file OK - 	101235742
	1552-4876	4675	JSON file OK - 	101235745
	1555-824X	6420	JSON file OK - 	9300756
	1538-2990	8943	JSON file OK - 	0370506
	1557-9891	6421	JSON file OK - 	101287723
	1421-9670	8972	JSON file OK - 	8109361
	1538-7488	8713	JSON file OK - 	0372646
	1097-6868		JSON file OK - sherpa without items - 	0370476
	2589-9333		JSON file OK - sherpa without items - 	101746609
	1943-7676	11539	JSON file OK - 	7705978
	1879-1891		JSON file OK - sherpa without items - 	0370500
	1097-6752		JSON file OK - sherpa without items - 	8610224
	1939-0025	29535	JSON file OK - 	0400640
	1532-818X		JSON file OK - sherpa without items - 	8000029
	1525-2191	10325	JSON file OK - 	0370502
	1098-8785	10703	JSON file OK - 	8405212
	1553-6467		JSON file OK - sherpa without items - 	0372650
	1096-8644		JSON file OK - sherpa without items - 	0400654
	1537-7385	8714	JSON file OK - 	8803677
	1522-1563	7390	JSON file OK - 	100901225
	1522-1555	23789	JSON file OK - 	100901226
	1522-1547	7392	JSON file OK - 	100901227
	1522-1539	7393	JSON file OK - 	100901228
	1522-1504	7394	JSON file OK - 	100901229
	1522-1490	7395	JSON file OK - 	100901230
	1522-1466	7396	JSON file OK - 	100901990
	1873-2607		JSON file OK - sherpa without items - 	8704773
	1098-2345	4690	JSON file OK - 	8108949
	1535-7228	9895	JSON file OK - 	0370512
	1573-6741	8298	JSON file OK - 	0372630
	0002-9564	41888	JSON file OK - 	0110672
	1541-0048	10303	JSON file OK - 	1254074
	1600-0897	2496	JSON file OK - 	8912860
	1535-4989	14956	JSON file OK - 	8917225
	1535-4970	14955	JSON file OK - 	9421642
	1945-8932		JSON file OK - sherpa without items - 	101490775
	1558-9110	14535	JSON file OK - 	9114726
	1552-3365	9502	JSON file OK - 	7609541
	1879-1883		JSON file OK - sherpa without items - 	0370473
	1532-0979	8942	JSON file OK - 	7707904
	1536-3686	8715	JSON file OK - 	9441347
	1600-6143	4691	JSON file OK - 	100968638
	1476-1645	10299	JSON file OK - 	0370507
	1943-5681	15055	JSON file OK - 	0375011
	1537-5323	14504	JSON file OK - 	2984688R
	1935-990X	3404	JSON file OK - 	0370521
	1548-8756		JSON file OK - sherpa without items - 	101233985
	1555-9823		JSON file OK - sherpa without items - 	0370522
	2376-6980	36998	JSON file OK - 	101649265
	1654-7209	15697	JSON file OK - 	0364220
	1745-8234	1019	JSON file OK - 	14730560R
	1942-597X		JSON file OK - sherpa without items - 	101209213
	1438-2199	17056	JSON file OK - 	9200312
	1744-2818	761	JSON file OK - 	9433802
	2167-9223		JSON file OK - sherpa without items - 	101587185
	1678-2690		JSON file OK - sherpa without items - 	7503280
	1806-4841		JSON file OK - sherpa without items - 	0067662
	2341-2879	35911	JSON file OK - 	101765626
	1137-6627		JSON file OK - sherpa without items - 	9710381
	1095-8274		JSON file OK - sherpa without items - 	9505216
	2352-5568	31870	JSON file OK - 	101652401
	1448-0271	14328	JSON file OK - 	0342017
	1365-2044	7597	JSON file OK - 	0370524
	1731-2531		JSON file OK - sherpa without items - 	101472620
	1432-055X	35992	JSON file OK - 	0370525
	1618-2650	7407	JSON file OK - 	101134327
	1096-0309		JSON file OK - sherpa without items - 	0370535
	2210-7185		JSON file OK - sherpa without items - 	101541993
	1520-6882	7775	JSON file OK - 	0370536
	1873-4324		JSON file OK - sherpa without items - 	0370534
	1759-9679	17997	JSON file OK - 	101519733
	1348-2246	28304	JSON file OK - 	8511078
	1364-5528	17995	JSON file OK - 	0372652
	1439-1074	10758	JSON file OK - 	9109478
	1439-0264	2454	JSON file OK - 	7704218
	1932-8494	13916	JSON file OK - 	101292775
	1935-9780	7598	JSON file OK - 	101392205
	1447-073X	13384	JSON file OK - 	101154140
	2149-2271		JSON file OK - sherpa without items - 	101652981
	2452-6053		JSON file OK - sherpa without items - 	101778868
	1439-0272	2455	JSON file OK - 	0423506
	2047-2927	23015	JSON file OK - 	101585129
	1526-7598	8716	JSON file OK - 	1310650
	1878-7177		JSON file OK - sherpa without items - 	0043533
	1932-2275	4728	JSON file OK - 	101273663
	1528-1175	8717	JSON file OK - 	1300217
	1521-3773	1320	JSON file OK - 	0370543
	1573-7209	16374	JSON file OK - 	9814575
	1027-6661		JSON file OK - sherpa without items - 	9604504
	1940-1574	201	JSON file OK - 	0203706
	1945-7103		JSON file OK - sherpa without items - 	0370550
	1532-2378	4930	JSON file OK - 	9011409
	1435-9456	7409	JSON file OK - 	9814573
	1365-2052	3615	JSON file OK - 	8605704
	1475-2654	1409	JSON file OK - 	101083072
	1873-2232		JSON file OK - sherpa without items - 	7807205
	1740-0929	3675	JSON file OK - 	100956805
	1751-732X	1535	JSON file OK - 	101303270
	2576-2095		JSON file OK - sherpa without items - 	101726292
	0304-4602		JSON file OK - sherpa without items - 	7503289
	0975-5764	1978	JSON file OK - 	101231417
	1898-2263		JSON file OK - sherpa without items - 	9500166
	1534-4436		JSON file OK - sherpa without items - 	9503580
	2325-6621	14957	JSON file OK - 	101600811
	1618-0402		JSON file OK - sherpa without items - 	100963897
	1532-4796	13071	JSON file OK - 	8510246
	1950-6112	41835	JSON file OK - 	2984690R
	1573-9686	15673	JSON file OK - 	0361512
	1095-8290	310	JSON file OK - 	0372347
	0974-5181	1979	JSON file OK - 	9815987
	1768-3181		JSON file OK - sherpa without items - 	0142167
	1768-319X		JSON file OK - sherpa without items - 	8305839
	1758-1001	11939	JSON file OK - 	0324055
	1550-8080		JSON file OK - sherpa without items - 	0410247
	1476-0711	21679	JSON file OK - 	101152152
	1547-3325		JSON file OK - sherpa without items - 	8911021
	2328-9503	25923	JSON file OK - 	101623278
	0151-9638	10412	JSON file OK - 	7702013
	1532-8198		JSON file OK - sherpa without items - 	9800503
	1934-7243	15674	JSON file OK - 	8406611
	1097-6760		JSON file OK - sherpa without items - 	8002646
	2213-3941		JSON file OK - sherpa without items - 	0116744
	1873-2585		JSON file OK - sherpa without items - 	9100013
	1544-1717	13522	JSON file OK - 	101167762
	2214-9996	35135	JSON file OK - 	101620864
	1432-0584	7835	JSON file OK - 	9107334
	1665-2681		JSON file OK - sherpa without items - 	101155885
	1464-5033	763	JSON file OK - 	0404024
	1469-1809	83	JSON file OK - 	0416661
	1872-969X	24910	JSON file OK - 	7708044
	1120-9135		JSON file OK - sherpa without items - 	9002865
	1539-3704	10308	JSON file OK - 	0372351
	2384-8553		JSON file OK - sherpa without items - 	7502520
	2239-253X		JSON file OK - sherpa without items - 	0372343
	2234-3814		JSON file OK - sherpa without items - 	101571172
	1365-2060	764	JSON file OK - 	8906388
	1749-6632	7600	JSON file OK - 	7506858
	1531-8249	7599	JSON file OK - 	7707449
	1542-474X	14539	JSON file OK - 	9607443
	1864-6433	13072	JSON file OK - 	8913398
	1421-9697	8976	JSON file OK - 	8105511
	1569-8041	314	JSON file OK - 	9007735
	1943-572X	41638	JSON file OK - 	0407300
	2224-5839	38132	JSON file OK - 	101585484
	2299-0631		JSON file OK - sherpa without items - 	101593588
	0242-6498	10413	JSON file OK - 	8106337
	0003-4509	10414	JSON file OK - 	2985176R
	1542-6270		JSON file OK - sherpa without items - 	9203131
	1877-0665		JSON file OK - sherpa without items - 	101502773
	1536-3708	32795	JSON file OK - 	7805336
	1478-7083	14929	JSON file OK - 	7506860
	1941-0611	11681	JSON file OK - 	101536246
	1468-2060	1663	JSON file OK - 	0372355
	0975-4466	1980	JSON file OK - 	8507355
	1464-505X	4933	JSON file OK - 	0372361
	1528-1140	8719	JSON file OK - 	0372354
	1534-4681	15678	JSON file OK - 	9420840
	2186-1005		JSON file OK - sherpa without items - 	9703158
	1552-6259		JSON file OK - sherpa without items - 	15030100R
	2329-0358		JSON file OK - sherpa without items - 	9802544
	1615-5947	10584	JSON file OK - 	8703941
	2398-7316	36551	JSON file OK - 	101698454
	2694-0604		JSON file OK - sherpa without items - 	101763872
	1936-1335	11604	JSON file OK - 	101508602
	2165-8110	27642	JSON file OK - 	101614024
	1545-4509	11606	JSON file OK - 	2985150R
	2574-3414		JSON file OK - sherpa without items - 	101714020
	1545-4274		JSON file OK - sherpa without items - 	100883581
	1936-1238		JSON file OK - sherpa without items - 	101469708
	1530-8995	11665	JSON file OK - 	9600627
	1947-5446	11666	JSON file OK - 	101574034
	1548-5951	11667	JSON file OK - 	101235325
	1545-4487	11672	JSON file OK - 	0372367
	1941-1421	11676	JSON file OK - 	101561951
	1545-2948	11677	JSON file OK - 	0117605
	1545-293X	11678	JSON file OK - 	100911346
	1545-3278	11679	JSON file OK - 	8309206
	1545-326X	11688	JSON file OK - 	2985151R
