NlmUniqueID	Title	MedlineTA	Country	Place	Publisher	PublicationFirstYear	PublicationEndYear	Frequency	ISSN-Electronic	ISSN-Print	ISSN-Linking	Language	TitleContinuationYN	IndexingStartDate	CurrentlyIndexedYN	IndexOnlineYN	IndexingSubset	IndexingSelectedURL	ReportedMedlineYN	ISSN	sherpa_oa	embargo	sherpa_oa_green	additional_oa_fee	sherpa_oa_hybrid	title_sherpa	issne_sherpa	issnp_sherpa	url	publisher_id	publisher_country	publisher_type	publisher_url	publisher_name	sherpa_id	sherpa_uri	ISSN_old_x	DOAJ_pissn	ISSN_old_y	DOAJ_title	DOAJ_eissn	DOAJ_Seal	DOAJ_date	DOAJ_year	DOAJ
8112917	Brazilian journal of medical and biological research = Revista brasileira de pesquisas médicas e biológicas	Braz J Med Biol Res	Brazil	[SP, Brasil	Associação Brasileira de Divulgação Científica	1981		Monthly	1414-431X	0100-879X	0100-879X	eng	N	1981.0	Y	Y	IM	http://www.scielo.br/scielo.php?script=sci_issues&pid=0100-879X&lng=en&nrm=iso	Y	1414-431X																	1414-431X	1414-431X		Brazilian Journal of Medical and Biological Research	1414-431X	No	2004-04-02T13:35:11Z	2004	yes
101207337	Brazilian journal of otorhinolaryngology	Braz J Otorhinolaryngol	Brazil	São Paulo, SP, Brasil	E.N.T. Brazilian Society	2000		Bimonthly	1808-8686	1808-8694	1808-8686	eng	N	2005.0	Y	Y	IM	http://www.rborl.org.br/english/default.asp	Y	1808-8686																	1808-8686	1808-8686		Brazilian Journal of Otorhinolaryngology	1808-8686	No	2010-10-28T15:30:20Z	2010	yes
100895975	Revista brasileira de psiquiatria (São Paulo, Brazil : 1999)	Braz J Psychiatry	Brazil	São Paulo, SP, Brasil	Associação Brasileira de Psiquiatria	1999		Bimonthly,	1809-452X	1516-4446	1516-4446	eng	N	2003.0	Y	Y	IM	http://www.scielo.br/scielo.php?script=sci_issues&pid=1516-4446&lng=en&nrm=iso	Y	1809-452X																	1809-452X	1809-452X		Brazilian Journal of Psychiatry	1809-452X	No	2004-04-23T21:31:01Z	2004	yes
101307187	Brazilian oral research	Braz Oral Res	Brazil	São Paulo, SP	Sociedade Brasileira de Pesquisa Odontológica	2004		Quarterly	1807-3107	1806-8324	1806-8324	eng	Y	2004.0	Y	Y	IM	http://www.scielo.br/scielo.php?script=sci_issues&pid=1806-8324&lng=en&nrm=iso	Y	1807-3107																	1807-3107	1807-3107		Brazilian Oral Research	1807-3107	No	2005-03-24T10:52:01Z	2005	yes
8901573	Cadernos de saúde pública	Cad Saude Publica	Brazil	Rio De Janeiro	Escola Nacional De Saúde Pública, Fundação Oswaldo Cruz	1985		Monthly,	1678-4464	0102-311X	0102-311X	por	N	1998.0	Y	Y	IM	http://www.scielosp.org/scielo.php?script=sci_issues&pid=0102-311X&lng=en&nrm=iso	Y	1678-4464																	1678-4464	1678-4464		Cadernos de Saúde Pública	1678-4464	No	2004-04-23T21:31:00Z	2004	yes
101588850	Cancer biology & medicine	Cancer Biol Med	China	[Tianjin]	Chinese Anti-Cancer Association	2012				2095-3941	2095-3941	eng	N	2020.0	Y	Y	IM	http://www.cancerbiomed.org	Y	2095-3941																		2095-3941	2095-3941	Cancer Biology & Medicine	2095-3941	No	2019-02-25T09:25:10Z	2019	yes
101694651	Cancer treatment and research communications	Cancer Treat Res Commun	England	[London]	Elsevier	2016			2468-2942		2468-2942	eng	N	2018.0	Y	Y	IM	http://www.sciencedirect.com/science/journal/24682942	Y	2468-2942																	2468-2942	2468-2942		Cancer Treatment and Research Communications	2468-2942	No	2021-12-01T09:57:00Z	2021	yes
9113221	Cellular physiology and biochemistry : international journal of experimental cellular physiology, biochemistry, and pharmacology	Cell Physiol Biochem	Germany	Düsseldorf, Germany	Cell Physiol Biochem Press GmbH & Co KG	1991		Six no. a year	1421-9778	1015-8987	1015-8987	eng	N	1998.0	Y	Y	IM	http://www.karger.com/Journal/Home/224332	Y	1421-9778																	1421-9778	1421-9778		Cellular Physiology and Biochemistry	1421-9778	No	2002-05-01T20:13:31Z	2002	yes
7804502	The Chinese journal of physiology	Chin J Physiol	India	Mumbai	Wolters Kluwer - Medknow Publications	1960		Bimonthly,	2666-0059	0304-4920	0304-4920	eng	N	1972.0	Y	N	IM		Y	2666-0059																	2666-0059	2666-0059		Chinese Journal of Physiology	2666-0059	No	2021-04-15T11:08:35Z	2021	yes
0372736	Cirugía y cirujanos	Cir Cir	Mexico	[Mexico City]	Permanyer	1933		Bimonthly	2444-054X	0009-7411	0009-7411	spa	N	2003.0	Y	Y	IM	http://cirugiaycirujanos.com/	Y	2444-054X																	2444-054X	2444-054X		Cirugía y Cirujanos	2444-054X	No	2021-03-29T08:50:56Z	2021	yes
