NlmUniqueID	BroadJournalHeading	sherpa_id_x	sherpa_has_oa_path	embargo	sherpa_id_y	embargo_published_version	embargo_accepted_version	sherpa_oa_green	sherpa_id	additional_oa_fee	sherpa_oa_hybrid	DOAJ_Seal	DOAJ
0370344	Dentistry	753.0	yes	12.0	753.0		12.0	yes	753.0	yes	hybrid or gold		
0370345	Dentistry												
14540210R	Dentistry												
8709065	Neoplasms	754.0	yes	12.0	754.0		12.0	yes	754.0	yes	hybrid or gold		
0370346	Neoplasms												
101468102	Ophthalmology	6778.0	yes	12.0	6778.0		12.0	yes	6778.0	yes	hybrid or gold		
0370347	Ophthalmology												
9507578	Ophthalmology												
9516974	Ophthalmology												
0370350	Ophthalmology												
9216417	Ophthalmology												
101485969	Ophthalmology												
101231512	Orthopedics	42998.0	yes	0.0	42998.0	0.0		yes				No	yes
2985165R	Orthopedics												
0370352	Orthopedics												
0370353	Orthopedics												
101244827	Orthopedics												
9424806	Orthopedics												
9424806	Traumatology												
101190312	Orthopedics												
0370354	Otolaryngology	756.0	yes	12.0	756.0		12.0	yes	756.0	yes	hybrid or gold		
0370355	Otolaryngology												
0373057	Otolaryngology												
8213019	Otolaryngology											No	yes
7610363	Otolaryngology												
14540260R	Otolaryngology												
101770938	Otolaryngology	21417.0	yes	12.0	21417.0		12.0	yes	21417.0	yes	hybrid or gold		
9205968	Pediatrics	6773.0	yes	12.0	6773.0		12.0	yes	6773.0	yes	hybrid or gold		
0372634	Pediatrics												
0372635	Pediatrics												
8307729	Pediatrics												
0370357	Pediatrics												
0000211	Pediatrics												
0173166	Pediatrics												
9315043	Pediatrics												
100958202	Pediatrics												
0400661	Psychiatry												
9301947	Parasitology	26384.0	yes	12.0	26384.0		12.0	yes	26384.0	yes	hybrid or gold		
0372637	Pathology												
8206622	Pathology												
8206623	Microbiology												
8206624	Allergy and Immunology												
8211441	Allergy and Immunology												
8211441	Microbiology												
8211441	Pathology												
7508471	Microbiology												
7508471	Pathology												
7508468	Pathology												
7508472	Microbiology												
7508470	Allergy and Immunology												
7508470	Microbiology												
7508469	Allergy and Immunology												
8211440	Microbiology												
8211440	Pathology												
9303678	Pharmacology	26385.0	yes	0.0	26385.0	0.0		yes				No	yes
0414322	Pharmacology												
8915967	Pharmacy												
0000216	Pharmacy												
100956087	Pharmacology	7593.0	yes	6.0	7593.0		6.0	yes	7593.0	yes	hybrid or gold		
0370572	Pharmacology												
0370572	Toxicology												
101262545	Physiology	3790.0	yes	12.0	3790.0		12.0	yes	3790.0	yes	hybrid or gold		
0371156	Physiology												
8309201	Physiology												
0060610	Physiology												
7512568	Pharmacology												
7512568	Physiology												
8409686	Pharmacology												
8409686	Physiology												
14610130R	Pharmacology												
9200300	Pharmacology												
9200300	Physiology												
9200300	Therapeutics												
2985166R	Physiology												
0370362	Physiology												
0376307	Physiology												
2985167R	Pharmacology												
0373060	Psychiatry												
0373060	Psychology												
0247037	Psychiatry												
0370364	Psychiatry	11850.0	yes	12.0	11850.0		12.0	yes	11850.0	yes	hybrid or gold		
0370365	Psychiatry												
0370366	Psychology	1725.0	yes	0.0	1725.0	0.0		yes				No	yes
8706123	Radiology	6779.0	yes	0.0	6779.0		0.0	yes	6779.0	yes	hybrid or gold		
0370367	Radiology												
8209606	Biology												
8209606	Biophysics												
8209606	Neoplasms												
8209606	Radiology												
8209606	Radiotherapy												
7805897	Biology												
7805897	Biophysics												
7805897	Neoplasms												
7805897	Physics												
7805897	Radiology												
101470759	Biology												
101470759	Biophysics												
101470759	Neoplasms												
101470759	Physics												
101470759	Radiotherapy												
0370370	Radiology												
101470699	Radiology												
0000201	Biology												
0000201	Nuclear Medicine												
0000201	Physics												
0000201	Radiology												
0431702	Rheumatology												
0321403	Rheumatology												
7908064	Rheumatology												
7903226	Rheumatology												
7611898	Medicine												
101295615	Nutritional Sciences												
0332127	Medicine												
2985168R	Epidemiology												
2985168R	Social Sciences												
0414076	Epidemiology												
0414076	Social Sciences												
0421026	Dentistry												
0253456	Dentistry												
0314001	Biology												
0314001	Reproductive Medicine												
0314001	Veterinary Medicine												
0370374	Tropical Medicine	1726.0	yes	12.0	1726.0		12.0	yes	1726.0	yes	hybrid or gold		
7611896	Tropical Medicine												
0157725	Pulmonary Medicine												
0370376	Pulmonary Medicine												
0064362	Medicine												
2985169R	Medicine												
0177667	Medicine												
0363112	Medicine												
0377045	Urology												
14620020R	Reproductive Medicine												
14620020R	Veterinary Medicine												
0370377	Veterinary Medicine												
8406376	Veterinary Medicine	2094.0	yes	0.0	2094.0		0.0	yes	2094.0	yes	hybrid or gold		
0370400	Veterinary Medicine	2203.0	yes	0.0	2203.0	0.0	0.0	yes				Yes	yes
0061331	Veterinary Medicine												
0370401	Virology	43191.0	yes	0.0	43191.0	0.0	0.0	yes					
0134541	Metabolism												
0134541	Pharmacology												
0135063	Metabolism												
0100314	Biology												
0100314	Pathology												
0373062	Dermatology	19900.0	yes	0.0	19900.0	0.0	0.0	yes				No	yes
0373062	Sexually Transmitted Diseases	19900.0	yes	0.0	19900.0	0.0	0.0	yes				No	yes
101777537	Dermatology												
101777537	Sexually Transmitted Diseases												
100886502	Psychiatry												
0355646	Medicine												
0355573	Neurology												
0355573	Psychiatry												
7704993	Urology												
101771154	Urology	21418.0	yes	12.0	21418.0		12.0	yes					
0143027	Cardiology												
0370405	Endocrinology												
0264367	Gastroenterology												
7513548	Neurology												
7513548	Physiology												
9614683	Dentistry												
0370406	Dentistry												
0370407	Pharmacology												
7611901	Anatomy												
7611901	Physiology												
7610364	Complementary Therapies												
9304117	Complementary Therapies	1662.0	yes	0.0	1662.0		0.0	yes	1662.0	yes	hybrid or gold		
101276603	Cardiology												
8412026	Health Services												
101553725	Medicine												
8704179	Nursing												
