NlmUniqueID	sherpa_id	additional_oa_fee	oa_status
9807947	11920	yes	hybrid or gold
9604507	212	yes	hybrid or gold
1302422	15137	yes	hybrid or gold
101120693	20472	yes	hybrid or gold
9504817	18254	yes	hybrid or gold
9207893	8741	yes	hybrid or gold
101213033	22298	yes	hybrid or gold
0346653	11756	yes	hybrid or gold
8906443	141	yes	hybrid or gold
7606847	7630	yes	hybrid or gold
0057202	475	yes	hybrid or gold
100973405	11916	yes	hybrid or gold
8409970	28181	yes	hybrid or gold
9709923	11918	yes	hybrid or gold
100896531	18793	yes	hybrid or gold
8703442	7631	yes	hybrid or gold
0425076	140	yes	hybrid or gold
0253664	11855	yes	hybrid or gold
101260955	20473	yes	hybrid or gold
8603766	4751	yes	hybrid or gold
8300869	5051	yes	hybrid or gold
9709206	1806	yes	hybrid or gold
8911831	15532	yes	hybrid or gold
100888977	14552	yes	hybrid or gold
9203213	3837	yes	hybrid or gold
101271570	10323	yes	hybrid or gold
101477246	11921	yes	hybrid or gold
8507389	8945	yes	hybrid or gold
9103300	8742	yes	hybrid or gold
8100174	4752	yes	hybrid or gold
8802622	811	yes	hybrid or gold
9710002	4753	yes	hybrid or gold
100893225	20474	yes	hybrid or gold
9516420	876	yes	hybrid or gold
7607910	8743	yes	hybrid or gold
8806548	21570	yes	hybrid or gold
101526693	11922	yes	hybrid or gold
7611109	8744	yes	hybrid or gold
9208508	9066	yes	hybrid or gold
8709115	8745	yes	hybrid or gold
101654592	38402	yes	hybrid or gold
101560587	18794	yes	hybrid or gold
9105713	11856	yes	hybrid or gold
9707115	7892	yes	hybrid or gold
0075674	11928	yes	hybrid or gold
101247023	144	yes	hybrid or gold
0372606	9067	yes	hybrid or gold
7501306	4754	yes	hybrid or gold
7606849	18255	yes	hybrid or gold
101572899	20980	yes	hybrid or gold
0372741	1636	yes	hybrid or gold
101137604	3791	yes	hybrid or gold
0424767	4755	yes	hybrid or gold
8604974	4756	yes	hybrid or gold
9416196	3718	yes	hybrid or gold
8111117	15169	yes	hybrid or gold
1306016	4743	yes	hybrid or gold
8802181	9068	yes	hybrid or gold
101264123	7893	yes	hybrid or gold
9504368	11951	yes	hybrid or gold
7905731	15038	yes	hybrid or gold
101675083	32773	yes	hybrid or gold
8112473	4757	yes	hybrid or gold
101227511	15810	yes	hybrid or gold
7706726	15540	yes	hybrid or gold
101241654	828	yes	hybrid or gold
101247119	11919	yes	hybrid or gold
8710240	11857	yes	hybrid or gold
101197451	9069	yes	hybrid or gold
9431220	18256	yes	hybrid or gold
101269155	3889	yes	hybrid or gold
9702877	24455	yes	hybrid or gold
101121166	1028	yes	hybrid or gold
100909747	7931	yes	hybrid or gold
101083946	13118	yes	hybrid or gold
101143317	5057	yes	hybrid or gold
8710375	1202	yes	hybrid or gold
9713497	14031	yes	hybrid or gold
8411889	1204	yes	hybrid or gold
101518151	14033	yes	hybrid or gold
101177984	7896	yes	hybrid or gold
7708195	6843	yes	hybrid or gold
9315133	15503	yes	hybrid or gold
100883611	7632	yes	hybrid or gold
9810948	1972	yes	hybrid or gold
101201068	11711	yes	hybrid or gold
0410263	11858	yes	hybrid or gold
0005735	17205	yes	hybrid or gold
9806096	27880	yes	hybrid or gold
9516061	27881	yes	hybrid or gold
100959500	27882	yes	hybrid or gold
101270611	12819	yes	hybrid or gold
7808924	12855	yes	hybrid or gold
101698453	32905	yes	hybrid or gold
101682864	31203	yes	hybrid or gold
101574442	23790	yes	hybrid or gold
101305205	7633	yes	hybrid or gold
101157394	11156	yes	hybrid or gold
1250250	4583	yes	hybrid or gold
8806104	4578	yes	hybrid or gold
9802899	5094	yes	hybrid or gold
8506513	12500	yes	hybrid or gold
9306292	3678	yes	hybrid or gold
0365263	781	yes	hybrid or gold
9882301	877	yes	hybrid or gold
9712714	16866	yes	hybrid or gold
7604950	11859	yes	hybrid or gold
101242342	15542	yes	hybrid or gold
9211867	4110	yes	hybrid or gold
9509333	19306	yes	hybrid or gold
8216186	8749	yes	hybrid or gold
9011445	8750	yes	hybrid or gold
8609491	38923	yes	hybrid or gold
9505022	33041	yes	hybrid or gold
9309668	7433	yes	hybrid or gold
8218602	8443	yes	hybrid or gold
101738191	37039	yes	hybrid or gold
8507720	4759	yes	hybrid or gold
0355501	8751	yes	hybrid or gold
8912620	4760	yes	hybrid or gold
101165286	8753	yes	hybrid or gold
9004784	5129	yes	hybrid or gold
8903774	784	yes	hybrid or gold
8208627	3523	yes	hybrid or gold
8505177	785	yes	hybrid or gold
8914816	786	yes	hybrid or gold
9007261	3524	yes	hybrid or gold
8914818	5131	yes	hybrid or gold
8914819	3544	yes	hybrid or gold
8914274	787	yes	hybrid or gold
8914610	3546	yes	hybrid or gold
8511159	3548	yes	hybrid or gold
8914275	788	yes	hybrid or gold
100883416	5144	yes	hybrid or gold
7707467	13074	yes	hybrid or gold
101473576	1973	yes	hybrid or gold
101096440	11169	yes	hybrid or gold
101208441	1974	yes	hybrid or gold
100897685	11170	yes	hybrid or gold
9107782	6585	yes	hybrid or gold
101094211	3890	yes	hybrid or gold
100888969	11188	yes	hybrid or gold
101261935	3892	yes	hybrid or gold
101265750	3896	yes	hybrid or gold
101093791	11177	yes	hybrid or gold
101253260	3897	yes	hybrid or gold
101208455	3899	yes	hybrid or gold
101157212	3900	yes	hybrid or gold
100960533	3901	yes	hybrid or gold
101735701	3898	yes	hybrid or gold
101270895	3902	yes	hybrid or gold
100960531	3903	yes	hybrid or gold
101629387	28149	yes	hybrid or gold
8104312	789	yes	hybrid or gold
100888896	11179	yes	hybrid or gold
101125446	3906	yes	hybrid or gold
8004904	7908	yes	hybrid or gold
101196487	11181	yes	hybrid or gold
101262565	11182	yes	hybrid or gold
101156990	3908	yes	hybrid or gold
101235661	11184	yes	hybrid or gold
100888982	11185	yes	hybrid or gold
101239891	3909	yes	hybrid or gold
9440157	42754	yes	hybrid or gold
101762461	3914	yes	hybrid or gold
0351014	790	yes	hybrid or gold
101729993	41467	yes	hybrid or gold
7808448	13017	yes	hybrid or gold
101093076	3916	yes	hybrid or gold
101467997	3917	yes	hybrid or gold
100931790	11187	yes	hybrid or gold
101157239	3919	yes	hybrid or gold
101208439	3920	yes	hybrid or gold
101587480	30678	yes	hybrid or gold
101578283	30797	yes	hybrid or gold
100888967	11189	yes	hybrid or gold
100936359	8754	yes	hybrid or gold
8813436	8755	yes	hybrid or gold
8608087	8756	yes	hybrid or gold
9804399	8757	yes	hybrid or gold
9504454	8758	yes	hybrid or gold
101308636	8759	yes	hybrid or gold
8506887	8760	yes	hybrid or gold
9111375	27897	yes	hybrid or gold
9430802	8761	yes	hybrid or gold
101264945	8762	yes	hybrid or gold
8809878	8763	yes	hybrid or gold
9010000	8764	yes	hybrid or gold
9303753	8765	yes	hybrid or gold
9319162	8766	yes	hybrid or gold
9007264	8767	yes	hybrid or gold
9007265	8768	yes	hybrid or gold
9011108	8769	yes	hybrid or gold
