NlmUniqueID	BroadJournalHeading	
2984688R	Biology	
2984688R	Science	
7506499	Nursing	
0370520	Ophthalmology	
0370520	Therapeutics	
7801164	Pharmacy	
0370521	Psychology	
7610370	Physical and Rehabilitation Medicine	
0370523	Pulmonary Medicine	
0370514	Science	
101233985	Neoplasms	
0370515	Social Sciences	
0370522	General Surgery	
9891709	Jurisprudence	
0370516	Biology	
101649265	Ethics	
0165700	Medicine	
0364220	Environmental Health	
0364220	Toxicology	
14730560R	Chemistry	
14730560R	History of Medicine	
9711806	Health Services	
101089367	Pediatrics	
7513559	Dentistry	
8812078	Acquired Immunodeficiency Syndrome	
101209213	Medical Informatics	
9200312	Biochemistry	
9433802	Biochemistry	
101283386	Neurology	
101587185	Neurology	
100964775	Neurology	
7503280	Science	
0423664	Nursing	
0067662	Dermatology	
1263440	Gynecology	
0376524	General Surgery	
7500780	Tropical Medicine	
0370533	Dentistry	
0420463	Pediatrics	
18330640R	Medicine	
7506831	Medicine	
7502729	Dentistry	
7506833	Chemistry	
7506833	Pharmacy	
7500781	Public Health	
7500781	Tropical Medicine	
7506829	Dentistry	
7502512	Tropical Medicine	
0347357	Medicine	
9112183	Internal Medicine	
0413653	Microbiology	
7605535	Otolaryngology	
101162596	Pediatrics	
101765626	Pediatrics	
0264671	Medicine	
7505188	Medicine	
9710381	Public Health	
7509335	Nursing	
7511412	Nursing	
9870008	Nursing	
101095069	Cardiology	
9505216	Microbiology	
101652401	Anesthesiology	
101652401	Critical Care	
0342017	Anesthesiology	
0342017	Critical Care	
0371112	Anesthesiology	
0370524	Anesthesiology	
101472620	Anesthesiology	
101472620	Critical Care	
7611455	Anesthesiology	
7611455	Critical Care	
7611455	Emergency Medicine	
9918384886806676	Anesthesiology	
0370525	Anesthesiology	
101134327	Chemistry Techniques, Analytical	
0370535	Biochemistry	
8911016	Cell Biology	
8911016	Pathology	
101541993	Cell Biology	
101541993	Neoplasms	
101541993	Pathology	
0370536	Chemistry Techniques, Analytical	
0370534	Chemistry Techniques, Analytical	
101519733	Chemistry Techniques, Analytical	
7911206	Cell Biology	
7911206	Medicine	
8506819	Cell Biology	
8506819	Histology	
101638882	Cell Biology	
101638882	Histology	
8511078	Chemistry Techniques, Analytical	
0372652	Chemistry Techniques, Analytical	
8005775	Anesthesiology	
8005775	Critical Care	
8005775	Emergency Medicine	
9109478	Anesthesiology	
9109478	Critical Care	
9109478	Emergency Medicine	
9109478	Psychophysiology	
0436571	Anesthesiology	
0370541	Anatomy	
7808897	Anatomy	
7505194	Anatomy	
7505194	Embryology	
7704218	Anatomy	
7704218	Embryology	
7704218	Histology	
7704218	Veterinary Medicine	
9703615	Pathology	
0370540	Anatomy	
101292775	Anatomy	
101234285	Anatomy	
101234285	Biology	
101234285	Cell Biology	
101234285	Molecular Biology	
101234289	Anatomy	
8402176	Anatomy	
101392205	Anatomy	
101392205	Education	
101154140	Anatomy	
