NlmUniqueID	Title	MedlineTA	PublicationInfo/Country	PublicationInfo/Place	PublicationInfo/Publisher	PublicationInfo/PublicationFirstYear	PublicationInfo/PublicationEndYear	PublicationInfo/Frequency	ISSN[@IssnType="Electronic"]	ISSN[@IssnType="Print"]	ISSNLinking	Language	TitleContinuationYN	IndexingStartDate	CurrentlyIndexedYN	IndexOnlineYN	IndexingSubset	IndexingSelectedURL	ReportedMedlineYN	
0400662	Activitas nervosa superior	Act Nerv Super (Praha)	Czech Republic	Praha	Avicenum	1959	1990	Quarterly		0001-7604	0001-7604	eng	N		N	N	IM		Y	
8300028	Acta Academiae Medicinae Wuhan = Wu-han i hsüeh yüan hsüeh pao	Acta Acad Med Wuhan	China	Wuhan	Wuhan Medical College	1981	1985	Quarterly		0253-3316	0253-3316	eng	N		N	N	IM		Y	
0370567	Acta allergologica	Acta Allergol	Denmark	Copenhagen	Munksgaard	1948	1977	Six no. a year		0001-5148	0001-5148	eng	N		N	N	IM		Y	
0421021	Acta allergologica. Supplementum	Acta Allergol Suppl (Copenh)	Denmark	Copenhague	Munksgaard.	1950	1977	Irregular		0065-096X	0065-096X	eng	N		N	N	OM		Y	
0340732	Acta anaesthesiologica	Acta Anaesthesiol	Italy	Padua	Editrice La Garangola	1950	1971	Bimonthly		0001-5156	0001-5156	ita	N		N	N	IM		Y	
0421022	Acta anaesthesiologica Belgica	Acta Anaesthesiol Belg	Belgium	Bruxelles	Acta Medica Belgica	1950		Quarterly	2736-5239	0001-5164	0001-5164	dut	N		N	N	IM		Y	
0370270	Acta anaesthesiologica Scandinavica	Acta Anaesthesiol Scand	England	Oxford, UK	Wiley-Blackwell	1957		Ten no. a year,	1399-6576	0001-5172	0001-5172	eng	N	1965	Y	Y	IM	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-6576	Y	
0370271	Acta anaesthesiologica Scandinavica. Supplementum	Acta Anaesthesiol Scand Suppl	England	Oxford, UK	Wiley	1959	2009	Irregular		0515-2720	0515-2720	eng	N		N	Y	IM	http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1399-6576	Y	
9432542	Acta anaesthesiologica Sinica	Acta Anaesthesiol Sin	China (Republic : 1949- )	Taibei	Zhonghua Minguo ma zui yi xue hui	1994	2003	Quarterly		0254-1319	0254-1319	chi	Y		N	N	IM		Y	
101214918	Acta anaesthesiologica Taiwanica : official journal of the Taiwan Society of Anesthesiologists	Acta Anaesthesiol Taiwan	China (Republic : 1949- )	[Taiwan]	Elsevier Taiwan LLC	2004	2016	Quarterly	1875-452X	1875-4597		eng	Y		N	Y	IM	http://www.sciencedirect.com/science/journal/18754597	Y	
0370272	Acta anatomica	Acta Anat (Basel)	Switzerland	Basel	Karger	1945	1998	Monthly		0001-5180	0001-5180	eng	N		N	N	IM		Y	
0370273	Acta anatomica. Supplementum	Acta Anat Suppl (Basel)	Switzerland	Basel	Karger [etc.]	1944	1980			0365-0332	0365-0332	eng	N		N	N	IM		Y	
7801158	Acta anthropogenetica	Acta Anthropogenet	India	New Delhi	Saraswati Press	1976	1985	Quarterly		0258-0357	0258-0357	eng	N		N	N	IM		Y	
14520280R	Acta argentina de fisiología y fisiopatología	Acta Argent Fisiol Fisiopatol	Argentina	[Córdoba]	Univ. Nacional de Córdoba.	1950	1954					spa	N		N	N	OM		Y	
9890631	Acta astronautica	Acta Astronaut	England	Oxford	Pergamon Press.	1974		Semimonthly,		0094-5765	0094-5765	eng	N		N	N	S		Y	
0063222	Acta Belgica de arte medicinali et pharmaceutica militari	Acta Belg Arte Med Pharm Mil	Belgium	Bruxelles	Editions IDE [etc.]	1955	1981	Quarterly				dut	N		N	N	OM		Y	
8307581	Acta Belgica. Medica physica : organe officiel de la Société royale belge de médecine physique et de réhabilitation	Acta Belg Med Phys	Belgium	Bruxelles	Acta Medica Belgica	1983	1990	Quarterly		0771-5684	0771-5684	dut	N		N	N	IM		Y	
0067725	Acta biochimica et biophysica; Academiae Scientiarum Hungaricae	Acta Biochim Biophys Acad Sci Hung	Hungary	Budapest	Akademiai Kiado	1966	1985	Quarterly				eng	N		N	N	IM		Y	
8701158	Acta biochimica et biophysica Hungarica	Acta Biochim Biophys Hung	Hungary	Budapest	Akademiai Kiado	1986	1992	Quarterly		0237-6261	0237-6261	eng	N		N	N	IM		Y	
